id,country,city,date,lattitude,longitude,max_temp,wind_speed,humidity,cloudiness
6167125,CA,Tobermory,1556936243,45.25,-81.67,37.0,5.01,89,93
1689597,PH,San Joaquin,1556936530,10.59,122.14,92.62,5.12,48,40
1259385,IN,Port Blair,1556936491,11.67,92.75,85.71,10.36,76,100
3899539,CL,Antofagasta,1556931600,-23.65,-70.4,64.4,3.36,68,90
471308,RU,Voyvozh,1556936533,62.89,54.96,47.34,7.34,91,100
2189343,NZ,Kaeo,1556936432,-35.1,173.78,70.0,8.48,84,2
2063056,AU,Port Augusta,1556936166,-32.49,137.76,59.0,12.75,87,90
988698,ZA,Knysna,1556935200,-34.04,23.05,57.2,9.17,67,80
2121373,RU,Seymchan,1556936539,62.93,152.39,35.74,2.24,98,53
3437029,PY,San Patricio,1556936540,-26.98,-56.83,73.89,5.55,94,88
3915350,BO,Guayaramerin,1556936542,-10.82,-65.36,74.41,2.68,99,76
2171085,AU,Coffs Harbour,1556936309,-30.3,153.13,68.0,1.12,88,100
6050066,CA,La Ronge,1556935200,55.1,-105.3,33.8,6.93,64,75
2527089,MA,Tiznit,1556936546,29.7,-9.73,62.4,14.16,86,82
3870282,CL,Talcahuano,1556931600,-36.72,-73.12,57.2,9.17,100,40
787487,MK,Poum,1556935200,41.28,20.71,39.2,4.7,86,0
1214488,ID,Meulaboh,1556936552,4.14,96.13,83.32,3.65,77,99
5989403,CA,Kapuskasing,1556935200,49.42,-82.43,37.4,2.24,59,75
212730,CD,Kisangani,1556936555,0.52,25.21,71.74,2.08,89,51
2180815,NZ,Tuatapere,1556936406,-46.13,167.69,66.99,13.0,56,100
2037391,CN,Fengzhen,1556936558,40.43,113.15,63.25,12.62,54,57
2034615,CN,Tahe,1556936559,52.34,124.71,44.35,9.86,21,98
331038,ET,Mendi,1556936560,9.8,35.1,73.63,4.7,39,0
2171722,AU,Charters Towers,1556936562,-20.07,146.27,82.63,11.7,45,89
158179,TZ,Katerero,1556936563,-1.4,31.73,62.2,4.65,96,74
3373329,PT,Arrifes,1556935200,37.77,-25.7,62.6,14.99,93,75
3402721,BR,Carpina,1556935200,-7.85,-35.25,80.6,11.41,74,40
146400,CY,Dromolaxia,1556936152,34.88,33.59,60.8,4.7,82,0
3421193,GL,Paamiut,1556936570,61.99,-49.67,42.8,6.08,57,100
4021858,MX,Guerrero Negro,1556936571,27.97,-114.04,61.23,12.35,88,0
552999,RU,Kapustin Yar,1556936574,48.58,45.77,54.46,8.25,74,82
2063042,AU,Port Hedland,1556933400,-20.31,118.58,87.8,17.22,15,6
6137631,CA,Saint-Prosper,1556936195,46.21,-70.48,46.0,2.17,98,100
4335045,US,Algiers,1556936577,29.94,-90.04,77.0,9.17,88,90
457954,LV,Liepaja,1556934600,56.52,21.02,39.2,6.93,86,99
203717,CD,Yangambi,1556936581,0.77,24.47,75.51,2.53,72,38
5572979,US,Merrill,1556936493,42.03,-121.6,68.0,13.87,22,1
286245,OM,Sur,1556936584,22.57,59.53,88.18,8.23,19,0
3220813,AT,Wanning,1556936579,48.64,13.53,45.0,2.24,100,75
2027296,RU,Aykhal,1556931600,65.95,111.51,28.4,6.71,86,90
1651103,ID,Atambua,1556936588,-9.11,124.89,85.66,2.98,67,47
623549,BY,Pinsk,1556936590,52.11,26.1,44.64,3.44,68,93
3440777,UY,Rocha,1556936591,-34.48,-54.34,56.61,2.53,98,1
2253354,SN,Dakar,1556935200,14.69,-17.45,66.2,9.17,93,75
3435910,AR,Puerto Madero,1556936470,-34.61,-58.36,68.0,9.17,77,0
3351014,AO,Camacupa,1556936596,-12.02,17.48,60.64,2.91,61,84
4167694,US,Panama City,1556936481,30.16,-85.65,75.99,10.29,83,1
3835994,AR,Santa Rosa,1556936478,-36.62,-64.29,60.21,7.49,57,67
517982,RU,Novosergiyevka,1556936605,52.08,53.65,53.47,17.83,63,85
2125711,RU,Esso,1556936607,55.93,158.7,28.27,7.09,82,100
1498920,RU,Mezhdurechensk,1556936608,53.69,88.07,53.69,0.87,31,0
5914132,CA,Campbell River,1556936196,50.02,-125.24,60.8,6.93,47,75
3107775,ES,Torrelavega,1556936603,43.35,-4.05,54.0,5.82,87,90
1174451,PK,Keti Bandar,1556936612,24.14,67.45,81.79,13.67,76,0
152042,TZ,Naberera,1556936614,-4.2,36.93,62.31,4.36,95,99
1495586,RU,Parabel,1556936615,58.71,81.5,47.93,12.75,70,78
1735902,MY,Sibu,1556931600,2.29,111.83,77.0,2.24,94,75
740430,TR,Safranbolu,1556936618,41.25,32.69,45.39,5.21,72,7
1263942,IN,Manavalakurichi,1556933400,8.13,77.3,84.2,6.93,79,75
610298,KZ,Beyneu,1556936621,45.32,55.19,66.83,12.66,34,91
2685750,SE,Ostersund,1556936129,63.18,14.64,30.99,9.17,68,40
3382160,GF,Cayenne,1556933400,4.94,-52.33,78.8,13.87,88,67
5314245,US,Show Low,1556936450,34.25,-110.03,66.99,10.29,17,40
2618795,FO,Klaksvik,1556936400,62.23,-6.59,35.6,16.11,69,96
